date,total,unique
2026-07-08,12,7
2026-07-09,4,4
2026-07-10,8,5
2026-07-11,8,5
2026-07-12,6,5
2026-07-13,14,7
2026-07-14,10,7
2026-07-15,10,6
2026-07-16,10,7
2026-07-17,3,3
2026-07-18,2,2
2026-07-19,4,4
2026-07-20,2,2
2026-07-21,4,3
