date,total,unique
2026-03-13,0,0
2026-03-14,0,0
2026-03-15,0,0
2026-03-16,0,0
2026-03-17,112,3
2026-03-18,38,2
2026-03-19,0,0
2026-03-20,41,2
2026-03-21,2,1
2026-03-22,0,0
2026-03-23,1,1
2026-03-24,2,1
2026-03-25,9,1
2026-03-26,0,0
